| Country                      | Share of labor in agriculture | Share of labor in manufacturing | GDP per capita |
|                   Montenegro |                          7.15 |                            5.97 |          8,749 |
|                      Morocco |                         33.25 |                       `missing` |          3,508 |
|                   Mozambique |                         70.22 |                       `missing` |            519 |
|                      Myanmar |                         48.85 |                           10.35 |          1,426 |
|                      Namibia |                         21.85 |                       `missing` |          4,732 |
|                        Nepal |                         64.38 |                       `missing` |          1,203 |
|                  Netherlands |                          2.08 |                            8.99 |         53,555 |
|                New Caledonia |                          1.87 |                            2.54 |         33,411 |
|                  New Zealand |                          5.84 |                            9.13 |         42,856 |
|                    Nicaragua |                          30.6 |                       `missing` |          1,959 |
|                        Niger |                         72.54 |                            6.42 |            562 |
|                      Nigeria |                         34.97 |                           10.74 |          3,190 |
|              North Macedonia |                         13.92 |                           19.91 |          6,719 |
|                       Norway |                          2.04 |                            7.67 |         76,431 |
|                         Oman |                          3.99 |                       `missing` |         19,180 |
|                     Pakistan |                         36.92 |                           15.08 |          1,390 |
|                       Panama |                         14.41 |                            7.54 |         16,478 |
|             Papua New Guinea |                         56.15 |                       `missing` |          2,576 |
|                     Paraguay |                         18.72 |                           10.43 |          5,821 |
|                         Peru |                         27.37 |                             8.7 |          7,037 |
|                  Philippines |                         22.86 |                            8.53 |          3,401 |
|                       Poland |                          9.15 |                           20.52 |         15,875 |
|                     Portugal |                           5.5 |                           17.03 |         23,343 |
|                        Qatar |                          1.17 |                            7.38 |         66,841 |
|                      Romania |                         21.24 |                           18.91 |         12,910 |
|                       Russia |                          5.83 |                           14.17 |         11,448 |
|                       Rwanda |                         62.29 |                            5.38 |            810 |
|                        Samoa |                         30.21 |                       `missing` |          4,352 |
|        Sao Tome and Principe |                         19.14 |                       `missing` |          1,935 |
|                 Saudi Arabia |                          2.41 |                       `missing` |         29,567 |
|                      Senegal |                          30.1 |                           12.86 |          1,431 |
|                       Serbia |                         15.61 |                           18.68 |          7,756 |
|                 Sierra Leone |                         54.49 |                       `missing` |            844 |
|                    Singapore |                          0.03 |                            9.61 |         65,952 |
|                     Slovakia |                          2.79 |                           24.61 |         19,406 |
|                     Slovenia |                          4.28 |                            25.6 |         25,814 |
|              Solomon Islands |                         37.26 |                       `missing` |          2,224 |
|                      Somalia |                         80.28 |                           10.66 |            540 |
|                 South Africa |                          5.28 |                           10.77 |          6,534 |
|                  South Korea |                          5.14 |                           16.26 |         33,827 |
|                        Spain |                          4.03 |                            12.4 |         29,787 |
|                    Sri Lanka |                         24.98 |                           18.39 |          4,082 |
|                        Sudan |                         38.37 |                       `missing` |            710 |
|                     Suriname |                          8.08 |                       `missing` |          6,630 |
|                       Sweden |                          1.69 |                           10.01 |         51,649 |
|                  Switzerland |                          2.59 |                           12.77 |         84,122 |
|                        Syria |                         10.13 |                       `missing` |          1,110 |
|                   Tajikistan |                         44.72 |                       `missing` |            871 |
|                     Tanzania |                         65.09 |                       `missing` |          1,063 |
|                     Thailand |                         31.43 |                           16.28 |          7,606 |
|                         Togo |                         32.38 |                            12.8 |            826 |
|                        Tonga |                         19.37 |                       `missing` |          4,789 |
|          Trinidad and Tobago |                          3.03 |                            9.08 |         17,213 |
|                      Tunisia |                          13.8 |                           18.19 |          3,529 |
|                       Turkey |                         18.11 |                           18.35 |          9,395 |
