| Region       | crops | animals | extract | food | manuf | svces | ai   |
|--------------|-------|---------|---------|------|-------|-------|------|
|    Australia |  -0.2 |    -0.3 |    -0.3 | -0.4 |  -0.3 |  -0.4 | -0.3 |
|  New Zealand |  -0.3 |    -0.3 |    -0.2 | -0.3 |  -0.4 |  -0.3 | -0.2 |
|          ROW |  -0.1 |    -0.2 |    -0.3 | -0.2 |  -0.2 |  -0.3 | -0.2 |
|        China |  -0.1 |    -0.2 |    -0.2 | -0.2 |  -0.3 |  -0.3 | -0.2 |
|        Japan |  -0.2 |    -0.3 |    -0.2 | -0.2 |  -0.2 |  -0.4 | -0.3 |
|  South Korea |  -0.0 |    -0.5 |    -0.2 | -0.6 |  -0.5 |  -0.6 | -0.7 |
|        India |  -0.1 |    -0.1 |    -0.3 | -0.1 |  -0.2 |  -0.2 | -0.5 |
|       Canada |  -0.4 |    -0.4 |    -0.2 | -0.4 |  -0.5 |  -0.5 | -0.3 |
|          USA |  -0.1 |    -0.3 |    -0.3 | -0.3 |  -0.3 |  -0.4 | -0.3 |
|       Mexico |  -0.2 |    -0.1 |    -0.3 | -0.1 |  -0.1 |  -0.1 | -0.0 |
|    Argentina |  -0.2 |    -0.4 |    -0.4 | -0.4 |  -0.6 |  -0.6 | -0.6 |
|       Brazil |  -0.2 |    -0.2 |    -0.2 | -0.2 |  -0.3 |  -0.4 | -0.3 |
|           EU |  -0.2 |    -0.2 |    -0.2 | -0.3 |  -0.3 |  -0.3 | -0.3 |
|           UK |  -0.1 |    -0.2 |    -0.2 | -0.3 |  -0.4 |  -0.3 | -0.1 |
|       Russia |  -0.3 |    -0.0 |    -0.2 | -0.1 |   0.0 |  -0.0 | -0.0 |
| South Africa |  -0.1 |    -0.3 |    -0.3 | -0.3 |  -0.3 |  -0.6 | -0.4 |
